player_id,average_elixir,win_rate,cards_used,arena_level,trophy_count,deck_type,won
000,4.1,0.41,"['P.E.K.K.A', 'Cannon', 'Arrows', 'Fireball']",14,3419,Cycle,0
001,3.98,0.41,"['Zap', 'Cannon', 'Arrows', 'Mega Minion']",13,3108,Cycle,0
002,4.29,0.61,"['Log', 'Cannon', 'Bandit', 'Baby Dragon']",11,3026,Control,1
003,3.35,0.45,"['Mini P.E.K.K.A', 'Electro Wizard', 'Zap', 'Tesla']",12,3396,Beatdown,1
004,4.01,0.64,"['Golem', 'Bandit', 'Mega Minion', 'Zap']",12,3322,Cycle,1
005,4.57,0.59,"['Arrows', 'Electro Wizard', 'Baby Dragon', 'Cannon']",14,3284,Aggro,0
006,4.43,0.7,"['Arrows', 'Cannon', 'Zap', 'Log']",11,4857,Beatdown,0
007,3.43,0.46,"['P.E.K.K.A', 'Golem', 'Ice Spirit', 'Mini P.E.K.K.A']",9,5495,Control,0
008,2.91,0.51,"['Tesla', 'Ice Spirit', 'Golem', 'Mega Minion']",10,5804,Beatdown,0
009,3.07,0.41,"['Electro Wizard', 'Log', 'P.E.K.K.A', 'Zap']",10,5323,Beatdown,0
010,4.14,0.52,"['Tesla', 'Ice Spirit', 'Bandit', 'Fireball']",11,3571,Control,1
011,4.37,0.53,"['Baby Dragon', 'Log', 'Electro Wizard', 'Cannon']",10,5087,Siege,0
012,4.39,0.66,"['Fireball', 'Ice Spirit', 'Tesla', 'Arrows']",12,5442,Aggro,1
013,3.45,0.7,"['Mega Minion', 'P.E.K.K.A', 'Tesla', 'Hog Rider']",14,5952,Aggro,1
014,4.42,0.5,"['P.E.K.K.A', 'Log', 'Fireball', 'Bandit']",9,5957,Beatdown,0
015,3.77,0.43,"['Ice Spirit', 'P.E.K.K.A', 'Tesla', 'Mega Minion']",13,3814,Control,1
016,4.41,0.56,"['Mini P.E.K.K.A', 'Mega Minion', 'Hog Rider', 'Baby Dragon']",11,5001,Aggro,0
017,4.82,0.66,"['Arrows', 'Mini P.E.K.K.A', 'P.E.K.K.A', 'Cannon']",9,3986,Cycle,0
018,2.71,0.55,"['Zap', 'Mini P.E.K.K.A', 'Mega Minion', 'Fireball']",10,5702,Siege,0
019,3.16,0.66,"['Log', 'Cannon', 'Mega Minion', 'Golem']",14,3823,Beatdown,1
020,4.99,0.59,"['Bandit', 'Mega Minion', 'Tesla', 'Zap']",10,3920,Aggro,1
021,2.55,0.57,"['Baby Dragon', 'Cannon', 'Hog Rider', 'Zap']",14,5584,Aggro,0
022,2.67,0.41,"['Electro Wizard', 'Zap', 'Mega Minion', 'Cannon']",11,5740,Siege,0
023,3.85,0.62,"['Tesla', 'Baby Dragon', 'Arrows', 'Bandit']",10,4937,Siege,0
024,2.74,0.6,"['Electro Wizard', 'Log', 'Arrows', 'Bandit']",15,5986,Aggro,0
025,2.65,0.62,"['Mini P.E.K.K.A', 'Arrows', 'Zap', 'Cannon']",10,3779,Cycle,1
026,2.85,0.46,"['Bandit', 'Cannon', 'Zap', 'Tesla']",15,5254,Aggro,0
027,4.13,0.56,"['Hog Rider', 'Zap', 'Mini P.E.K.K.A', 'Cannon']",10,4664,Siege,1
028,3.03,0.52,"['Hog Rider', 'Fireball', 'Log', 'Tesla']",12,4086,Siege,1
029,3.56,0.69,"['Mini P.E.K.K.A', 'Mega Minion', 'Ice Spirit', 'Golem']",12,3634,Control,1
030,3.04,0.42,"['Golem', 'Mega Minion', 'Hog Rider', 'Tesla']",11,3234,Aggro,1
031,3.76,0.66,"['Fireball', 'Hog Rider', 'Mega Minion', 'Zap']",15,3761,Aggro,0
032,4.19,0.47,"['Zap', 'Baby Dragon', 'Cannon', 'Arrows']",13,3162,Cycle,0
033,3.55,0.58,"['Mega Minion', 'Electro Wizard', 'P.E.K.K.A', 'Cannon']",14,5933,Beatdown,0
034,3.16,0.44,"['Ice Spirit', 'P.E.K.K.A', 'Bandit', 'Electro Wizard']",15,3297,Aggro,1
035,4.05,0.57,"['Zap', 'Tesla', 'Mega Minion', 'Cannon']",13,4086,Control,1
036,4.7,0.66,"['Electro Wizard', 'P.E.K.K.A', 'Fireball', 'Bandit']",15,5225,Beatdown,0
037,4.17,0.57,"['Tesla', 'Ice Spirit', 'Zap', 'Fireball']",11,3472,Aggro,0
038,3.18,0.58,"['Golem', 'Electro Wizard', 'Cannon', 'Ice Spirit']",14,4081,Cycle,1
039,3.13,0.67,"['Hog Rider', 'Zap', 'Ice Spirit', 'Log']",15,4133,Aggro,0
040,3.33,0.44,"['P.E.K.K.A', 'Fireball', 'Golem', 'Bandit']",13,5890,Siege,0
041,2.78,0.68,"['Golem', 'Fireball', 'Mega Minion', 'Hog Rider']",15,4512,Cycle,0
042,3.57,0.41,"['Electro Wizard', 'Mini P.E.K.K.A', 'Hog Rider', 'Tesla']",10,5793,Control,0
043,3.38,0.57,"['Arrows', 'Log', 'Baby Dragon', 'Golem']",10,3969,Control,0
044,4.7,0.41,"['Golem', 'Electro Wizard', 'Mini P.E.K.K.A', 'Log']",15,5743,Control,1
045,2.9,0.61,"['Log', 'Arrows', 'Hog Rider', 'Bandit']",10,3817,Siege,1
046,3.26,0.64,"['Cannon', 'Tesla', 'Hog Rider', 'Ice Spirit']",10,4632,Beatdown,1
047,4.66,0.69,"['P.E.K.K.A', 'Electro Wizard', 'Ice Spirit', 'Mega Minion']",12,5783,Cycle,1
048,4.85,0.43,"['P.E.K.K.A', 'Fireball', 'Baby Dragon', 'Tesla']",9,3444,Cycle,1
049,3.36,0.64,"['Log', 'Baby Dragon', 'Mega Minion', 'Zap']",12,5361,Control,1
050,2.61,0.53,"['Mega Minion', 'Mini P.E.K.K.A', 'Tesla', 'Ice Spirit']",14,5746,Control,1
051,3.58,0.68,"['Tesla', 'Electro Wizard', 'Baby Dragon', 'Arrows']",14,3510,Beatdown,1
052,4.17,0.5,"['Golem', 'P.E.K.K.A', 'Mega Minion', 'Fireball']",10,4722,Siege,0
053,4.04,0.49,"['Mega Minion', 'Arrows', 'Hog Rider', 'P.E.K.K.A']",11,3860,Siege,1
054,3.66,0.53,"['Cannon', 'Mega Minion', 'Bandit', 'Golem']",10,5698,Aggro,1
055,3.79,0.59,"['Electro Wizard', 'Zap', 'Mini P.E.K.K.A', 'Cannon']",14,4271,Control,0
056,2.87,0.41,"['Bandit', 'Baby Dragon', 'Mini P.E.K.K.A', 'Zap']",12,4697,Cycle,0
057,4.3,0.52,"['Log', 'Cannon', 'Fireball', 'Ice Spirit']",14,3022,Aggro,1
058,3.05,0.64,"['Golem', 'Mega Minion', 'Bandit', 'Hog Rider']",13,4020,Aggro,1
059,2.83,0.54,"['Mega Minion', 'Tesla', 'Baby Dragon', 'Electro Wizard']",15,4812,Cycle,1
060,4.58,0.56,"['Tesla', 'Fireball', 'Golem', 'Bandit']",12,4061,Control,1
061,4.41,0.56,"['Ice Spirit', 'Cannon', 'P.E.K.K.A', 'Bandit']",9,5922,Beatdown,0
062,3.18,0.5,"['Mega Minion', 'Zap', 'Fireball', 'Mini P.E.K.K.A']",10,4568,Control,0
063,2.66,0.52,"['Mega Minion', 'Bandit', 'Log', 'Hog Rider']",10,4720,Siege,0
064,4.64,0.63,"['Log', 'Bandit', 'Hog Rider', 'Electro Wizard']",11,4597,Siege,0
