,,,,NFL Fantasy Football Stats - 2021/2022 Season Actuals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,© FantasyCube.com,,
"Updated: August 28, 2022 (b)",,,,,,,,,,,,,,,,,Scoring Settings (League Value):,0,0,25,4,-1,0,0,0,0,10,6,0,0,0,10,6,0,0,6,2,0,-2,,,
,,,,MY NOTES & RANKING,,"PROJECTIONS (Y! Std, Fantasy Pros Std & PPR)",,,,,,,,,,GAMES,,PASSING,,,,,,,,RUSHING,,,,RECEIVING,,,,,RETURN,,MISC,FUM,,FANTASY POINTS,,
Player,Pos,Team,Bye,Notes,Rank,Y! Roto,?,Y! Old,Std,?,Std Old,PPR,?,PPR Old,% Own,GP,GS,Comp,Inc,Yds,TD,Int,Pic6,Sks,1st,Att,Yds,TD,1st,Tgt,Rec,Yds,TD,1st,Yds,TD,2PT,Total,Lost,Fan Pts,PPG,
J. Allen,QB,Buf,7,,,32,-,32,32,-,32,34,-,34,100%,17,,409,237,4407,36,15,0,26,234,122,763,6,54,0,0,0,0,0,0,0,3,8,3,418,24.6,
J. Herbert,QB,LAC,8,,,49,-,49,40,-,40,44,-,44,100%,17,,443,229,5014,38,15,3,31,256,63,302,3,28,0,0,0,0,0,0,0,6,1,1,396,23.3,
P. Mahomes,QB,KC,8,,,52,-,52,50,-,50,46,-,46,100%,17,,436,222,4839,37,13,1,28,260,66,381,2,25,0,0,0,0,0,0,0,2,9,4,375,22.0,
T. Brady,QB,TB,11,,,76,-,76,83,-,83,84,-,84,99%,17,,485,234,5316,43,12,2,22,269,28,81,2,14,0,0,0,0,0,0,0,0,4,3,387,22.7,
J. Burrow,QB,Cin,10,Q,,70,-,70,75,-,75,76,-,76,99%,16,,366,154,4611,34,14,2,51,202,40,118,2,14,0,0,0,0,0,0,0,1,5,2,328,20.5,
M. Stafford,QB,LAR,7,Q,,93,-,93,102,-,102,101,-,101,94%,17,,404,197,4886,41,17,4,30,233,32,43,0,8,0,0,0,0,0,0,0,2,5,2,347,20.4,
D. Prescott,QB,Dal,9,,,92,-,92,89,-,89,89,-,89,96%,16,,410,186,4449,37,10,1,30,227,48,146,1,7,0,0,0,0,0,0,0,3,14,6,331,20.7,
A. Rodgers,QB,GB,14,,,105,-,105,103,-,103,100,-,100,95%,16,,366,165,4115,37,4,0,30,213,33,101,3,10,1,1,-4,0,0,0,0,0,3,0,336,21.0,
R. Tannehill,QB,Ten,6,,,166,-,166,150,-,150,165,-,165,22%,17,,357,174,3734,21,14,0,47,192,55,270,7,33,0,0,0,0,0,0,0,1,10,4,282,16.6,
D. Carr,QB,LV,6,,,106,-,106,107,-,107,112,-,112,89%,17,,428,198,4804,23,14,2,40,217,40,108,0,9,0,0,0,0,0,0,0,0,13,5,271,15.9,
J. Hurts,QB,Phi,7,,,65,-,65,63,-,63,67,-,67,99%,15,,265,167,3144,16,9,1,26,143,139,784,10,56,1,0,0,0,0,0,0,3,9,2,321,21.4,
K. Murray,QB,Ari,13,,,71,-,71,61,-,61,65,-,65,99%,14,,333,148,3787,24,10,1,31,172,88,423,5,25,0,0,7,0,0,0,0,0,13,0,310,22.2,
K. Cousins,QB,Min,7,,,104,-,104,105,-,105,111,-,111,85%,16,,372,189,4221,33,7,0,28,192,29,115,1,8,0,0,0,0,0,0,0,0,12,2,307,19.2,
M. Ryan,QB,Ind,14,,,139,-,139,138,-,138,157,-,157,48%,17,,375,185,3968,20,12,2,40,195,40,82,1,9,0,0,0,0,0,0,0,1,11,4,235,13.8,
L. Jackson,QB,Bal,10,,,47,-,47,55,-,55,51,-,51,100%,12,,246,136,2882,16,13,1,38,135,133,767,2,48,0,0,0,0,0,0,0,2,6,3,253,21.1,
C. Wentz,QB,Was,14,,,185,-,185,167,-,167,192,-,192,14%,17,,322,194,3563,27,7,1,32,165,57,215,1,21,0,0,0,0,0,0,0,2,8,5,265,15.6,
T. Heinicke,QB,Was,14,,,400,-,400,400,-,400,400,-,400,1%,16,,321,173,3419,20,15,1,38,167,60,313,1,20,1,1,-2,0,0,0,0,1,7,2,237,14.8,
T. Lawrence,QB,Jax,11,,,123,-,123,122,-,122,144,-,144,57%,17,,359,243,3641,12,17,1,32,177,73,334,2,22,0,0,0,0,0,0,0,2,9,5,216,12.7,
M. Jones,QB,NE,10,,,172,-,172,157,-,157,174,-,174,39%,17,,352,169,3801,22,13,3,28,177,44,129,0,22,0,0,0,0,0,0,0,2,7,3,238,14.0,
J. Garoppolo,QB,SF,9,,,332,-,332,257,-,257,277,-,277,3%,15,,301,140,3810,20,12,0,29,172,38,51,3,15,0,0,0,0,0,0,0,1,8,3,240,16.0,
R. Wilson,QB,Den,9,,,84,-,84,84,-,84,86,-,86,97%,14,,259,141,3113,25,6,0,33,135,43,183,2,17,0,0,0,0,0,0,0,1,6,1,249,17.8,
B. Mayfield,QB,Car,13,,,212,-,212,182,-,182,207,-,207,14%,14,,253,165,3010,17,13,0,43,143,37,134,1,12,0,0,11,0,0,0,0,2,6,3,194,13.9,
J. Goff,QB,Det,6,,,151,-,151,168,-,168,197,-,197,23%,14,,332,162,3245,19,8,1,35,162,17,87,0,4,0,0,0,0,0,0,0,4,9,6,203,14.5,
T. Bridgewater,QB,Mia,11,,,318,-,318,330,-,330,354,-,354,1%,14,,285,141,3052,18,7,1,31,146,30,106,2,16,0,0,0,0,0,0,0,1,1,1,210,15.0,
J. Taylor,RB,Ind,14,,,1,-,1,1,-,1,2,-,2,100%,17,,0,0,0,0,0,0,0,0,332,1811,18,107,51,40,360,2,12,0,0,0,4,2,333,19.6,
Z. Wilson,QB,NYJ,10,Q,,221,-,221,173,-,173,199,-,199,9%,13,,213,170,2334,9,11,0,44,112,29,185,4,10,1,0,0,0,0,0,0,2,5,1,163,12.5,
S. Darnold,QB,Car,13,O,,317,-,317,287,-,287,305,-,305,1%,12,,243,163,2527,9,13,1,35,123,48,222,5,21,0,0,0,0,0,0,0,1,9,4,170,14.2,
T. Tagovailoa,QB,Mia,11,,,122,-,122,118,-,118,126,-,126,69%,13,,263,125,2653,16,10,1,20,137,42,128,3,13,0,0,0,0,0,0,0,1,9,1,191,14.7,
D. Mills,QB,Hou,6,,,208,-,208,181,-,181,211,-,211,7%,13,,263,131,2664,16,10,0,31,118,18,44,0,5,0,0,0,0,0,0,0,2,5,1,167,12.8,
D. Jones,QB,NYG,9,,,131,-,131,156,-,156,172,-,172,27%,11,,232,129,2428,10,7,0,22,116,62,298,2,16,1,1,16,0,1,0,0,3,7,3,174,15.8,
C. Kupp,WR,LAR,7,,,4,-,4,10,-,10,6,-,6,100%,17,,0,1,0,0,0,0,0,0,4,18,0,1,191,145,1947,16,89,28,0,1,0,0,295,17.3,
A. Ekeler,RB,LAC,8,,,5,-,5,5,-,5,3,-,3,100%,16,,0,0,0,0,0,0,0,0,206,911,12,53,94,70,647,8,31,0,0,2,4,3,274,17.1,
J. Fields,QB,Chi,14,,,120,-,120,120,-,120,136,-,136,65%,12,,159,111,1870,7,10,1,36,83,72,420,2,22,0,0,0,0,0,0,0,0,12,5,137,11.4,
J. Mixon,RB,Cin,10,,,12,-,12,6,-,6,11,-,11,100%,16,,0,0,0,0,0,0,0,0,292,1205,13,60,48,42,314,3,11,0,0,0,2,1,246,15.4,
N. Harris,RB,Pit,9,,,10,-,10,7,-,7,7,-,7,100%,17,,0,0,0,0,0,0,0,0,307,1200,7,62,94,74,467,3,22,0,0,0,0,0,227,13.3,
D. Samuel,WR,SF,9,,,26,-,26,19,-,19,25,-,25,100%,16,,1,1,24,1,0,0,0,1,59,365,8,21,121,77,1405,6,51,75,0,0,4,2,262,16.4,
J. Conner,RB,Ari,13,,,33,-,33,26,-,26,30,-,30,99%,15,,0,0,0,0,0,0,0,0,202,752,15,53,39,37,375,3,18,0,0,0,2,0,221,14.7,
D. Adams,WR,LV,6,,,13,-,13,18,-,18,14,-,14,100%,16,,0,0,0,0,0,0,0,0,0,0,0,0,169,123,1553,11,84,0,0,0,0,0,221,13.8,
J. Jefferson,WR,Min,7,,,3,-,3,8,-,8,5,-,5,100%,17,,2,2,35,0,0,0,0,2,6,14,0,1,167,108,1616,10,75,0,0,0,1,1,222,13.1,
E. Elliott,RB,Dal,9,,,28,-,28,30,-,30,33,-,33,99%,17,,1,0,4,0,0,0,0,0,237,1002,10,55,65,47,287,2,16,0,0,3,1,1,205,12.1,
N. Chubb,RB,Cle,9,,,20,-,20,9,-,9,27,-,27,100%,14,,0,0,0,0,0,0,0,0,228,1259,8,61,25,20,174,1,9,0,0,0,2,1,195,14.0,
A. Gibson,RB,Was,14,,,56,-,56,76,-,76,73,-,73,95%,16,,0,0,0,0,0,0,0,0,258,1037,7,65,52,42,294,3,12,0,0,1,6,4,187,11.7,
J. Chase,WR,Cin,10,,,8,-,8,11,-,11,12,-,12,100%,17,,0,0,0,0,0,0,0,0,7,21,0,2,128,81,1455,13,56,0,0,0,2,1,224,13.2,
L. Fournette,RB,TB,11,,,19,-,19,23,-,23,20,-,20,100%,14,,0,1,0,0,0,0,0,0,180,812,8,45,84,69,454,2,30,0,0,0,1,0,187,13.3,
A. Kamara,RB,NO,14,,,21,-,21,13,-,13,15,-,15,100%,13,,0,0,0,0,0,0,0,0,240,898,4,42,67,47,439,5,20,29,0,0,0,0,188,14.4,
M. Andrews,TE,Bal,10,,,25,-,25,12,-,12,19,-,19,100%,17,,0,0,0,0,0,0,0,0,1,0,0,0,153,107,1361,9,75,0,0,2,1,0,194,11.4,
C. Patterson,RB,Atl,14,,,91,-,91,98,-,98,83,-,83,89%,16,,0,1,0,0,0,0,0,0,153,618,6,29,69,52,548,5,26,434,0,0,1,0,183,11.4,
D. Harris,RB,NE,10,Q,,50,-,50,64,-,64,77,-,77,94%,15,,0,0,0,0,0,0,0,0,202,929,15,55,21,18,132,0,4,0,0,0,2,2,192,12.8,
T. Hill,WR,Mia,11,,,22,-,22,25,-,25,21,-,21,100%,17,,0,0,0,0,0,0,0,0,9,96,0,4,159,111,1239,9,75,0,0,0,2,1,186,10.9,
